text,label
हा एक सुंदर दिवस आहे,Marathi
क्या समय हुआ है?,Hindi
मम क्षुधा वर्तते,Sanskrit
कति बजेको छ?,Nepali
वातावरणं रमणीयं अस्ति,Sanskrit
हवामान खूप छान आहे,Marathi
मम क्षुधा वर्तते वातावरणं रमणीयं अस्ति,Sanskrit
यह एक सुंदर दिन है,Hindi
अहं विद्यालयं गच्छामि एषा पुस्तिका रोचकं अस्ति,Sanskrit
हवामान खूप छान आहे मी मराठी शिकत आहे,Marathi
मम क्षुधा वर्तते मम क्षुधा वर्तते,Sanskrit
कृपया मलाई मद्दत गर मौसम धेरै राम्रो छ,Nepali
मला भूक लागली आहे,Marathi
ही पुस्तक खूप रंजक आहे,Marathi
तुम कैसे हो?,Hindi
हवामान खूप छान आहे ही पुस्तक खूप रंजक आहे,Marathi
कियद्वेला जाता?,Sanskrit
मैं हिंदी सीख रहा हूँ यह पुस्तक बहुत रोचक है,Hindi
एषा पुस्तिका रोचकं अस्ति एषः सुंदरः दिवसः अस्ति,Sanskrit
मी बाजारात जात आहे,Marathi
मला भूक लागली आहे,Marathi
कृपया माझी मदत करा,Marathi
तिमीलाई कस्तो छ?,Nepali
मम क्षुधा वर्तते अहं संस्कृतं पठामि,Sanskrit
तिमीलाई कस्तो छ?,Nepali
अहं विद्यालयं गच्छामि,Sanskrit
कृपया साहाय्यं कुरुत एषः सुंदरः दिवसः अस्ति,Sanskrit
मी बाजारात जात आहे भारत एक महान देश आहे,Marathi
कृपया मलाई मद्दत गर यो एक सुन्दर दिन हो,Nepali
म नेपाली सिक्दैछु,Nepali
क्या समय हुआ है?,Hindi
वेळ किती वाजली आहे?,Marathi
भारतः महान् देशः अस्ति,Sanskrit
मैं हिंदी सीख रहा हूँ यह पुस्तक बहुत रोचक है,Hindi
म भोक लागेको छु,Nepali
कृपया माझी मदत करा,Marathi
भारत एक महान देश है,Hindi
भारत एक महान देश है,Hindi
कृपया मलाई मद्दत गर,Nepali
ही पुस्तक खूप रंजक आहे,Marathi
मम क्षुधा वर्तते कृपया साहाय्यं कुरुत,Sanskrit
मैं हिंदी सीख रहा हूँ मुझे भूख लगी है,Hindi
क्या समय हुआ है? क्या समय हुआ है?,Hindi
मौसम बहुत अच्छा है,Hindi
हवामान खूप छान आहे,Marathi
भारत एक महान देश आहे मी मराठी शिकत आहे,Marathi
मैं हिंदी सीख रहा हूँ,Hindi
यो एक सुन्दर दिन हो,Nepali
म बजार जाँदैछु,Nepali
भारत एक महान देश है,Hindi
मी बाजारात जात आहे,Marathi
मम क्षुधा वर्तते मम क्षुधा वर्तते,Sanskrit
क्या समय हुआ है? मौसम बहुत अच्छा है,Hindi
मी मराठी शिकत आहे तू कसा आहेस?,Marathi
अहं संस्कृतं पठामि,Sanskrit
मला भूक लागली आहे,Marathi
कृपया मेरी मदद करें,Hindi
एषा पुस्तिका रोचकं अस्ति,Sanskrit
वेळ किती वाजली आहे? हवामान खूप छान आहे,Marathi
क्या समय हुआ है?,Hindi
मला भूक लागली आहे,Marathi
भारत एक महान देश आहे,Marathi
यह एक सुंदर दिन है,Hindi
म भोक लागेको छु,Nepali
ही पुस्तक खूप रंजक आहे भारत एक महान देश आहे,Marathi
मौसम बहुत अच्छा है,Hindi
मम क्षुधा वर्तते,Sanskrit
अहं विद्यालयं गच्छामि,Sanskrit
मैं हिंदी सीख रहा हूँ मौसम बहुत अच्छा है,Hindi
यो पुस्तक धेरै रोचक छ,Nepali
मुझे भूख लगी है मुझे भूख लगी है,Hindi
म नेपाली सिक्दैछु,Nepali
कृपया साहाय्यं कुरुत,Sanskrit
हवामान खूप छान आहे,Marathi
मैं हिंदी सीख रहा हूँ क्या समय हुआ है?,Hindi
हवामान खूप छान आहे,Marathi
कति बजेको छ?,Nepali
मैं हिंदी सीख रहा हूँ तुम कैसे हो?,Hindi
तू कसा आहेस? मी बाजारात जात आहे,Marathi
मम क्षुधा वर्तते,Sanskrit
अहं विद्यालयं गच्छामि,Sanskrit
भारत एक महान देश आहे,Marathi
म भोक लागेको छु,Nepali
म बजार जाँदैछु म बजार जाँदैछु,Nepali
ही पुस्तक खूप रंजक आहे,Marathi
भारत एक महान देश हो कति बजेको छ?,Nepali
वातावरणं रमणीयं अस्ति,Sanskrit
यह पुस्तक बहुत रोचक है,Hindi
अहं विद्यालयं गच्छामि,Sanskrit
त्वं कथं असि?,Sanskrit
मम क्षुधा वर्तते,Sanskrit
एषा पुस्तिका रोचकं अस्ति एषः सुंदरः दिवसः अस्ति,Sanskrit
कृपया माझी मदत करा,Marathi
हवामान खूप छान आहे,Marathi
कियद्वेला जाता?,Sanskrit
अहं संस्कृतं पठामि,Sanskrit
यह एक सुंदर दिन है मुझे भूख लगी है,Hindi
मुझे भूख लगी है,Hindi
मी बाजारात जात आहे भारत एक महान देश आहे,Marathi
तू कसा आहेस?,Marathi
यो पुस्तक धेरै रोचक छ,Nepali
कृपया मेरी मदद करें,Hindi
कियद्वेला जाता?,Sanskrit
अहं विद्यालयं गच्छामि,Sanskrit
तिमीलाई कस्तो छ?,Nepali
त्वं कथं असि?,Sanskrit
ही पुस्तक खूप रंजक आहे,Marathi
भारत एक महान देश है,Hindi
हवामान खूप छान आहे ही पुस्तक खूप रंजक आहे,Marathi
मी मराठी शिकत आहे,Marathi
त्वं कथं असि?,Sanskrit
त्वं कथं असि? वातावरणं रमणीयं अस्ति,Sanskrit
मैं हिंदी सीख रहा हूँ यह पुस्तक बहुत रोचक है,Hindi
कृपया माझी मदत करा मला भूक लागली आहे,Marathi
हवामान खूप छान आहे,Marathi
वेळ किती वाजली आहे?,Marathi
अहं विद्यालयं गच्छामि,Sanskrit
मैं हिंदी सीख रहा हूँ,Hindi
भारत एक महान देश है मुझे भूख लगी है,Hindi
तू कसा आहेस?,Marathi
एषः सुंदरः दिवसः अस्ति,Sanskrit
अहं संस्कृतं पठामि,Sanskrit
कियद्वेला जाता? अहं विद्यालयं गच्छामि,Sanskrit
एषा पुस्तिका रोचकं अस्ति एषः सुंदरः दिवसः अस्ति,Sanskrit
म बजार जाँदैछु यो एक सुन्दर दिन हो,Nepali
भारतः महान् देशः अस्ति अहं विद्यालयं गच्छामि,Sanskrit
ही पुस्तक खूप रंजक आहे,Marathi
म भोक लागेको छु,Nepali
मी बाजारात जात आहे,Marathi
यो एक सुन्दर दिन हो,Nepali
तिमीलाई कस्तो छ?,Nepali
कृपया मलाई मद्दत गर,Nepali
हा एक सुंदर दिवस आहे वेळ किती वाजली आहे?,Marathi
क्या समय हुआ है? मैं बाजार जा रहा हूँ,Hindi
कृपया साहाय्यं कुरुत,Sanskrit
तिमीलाई कस्तो छ?,Nepali
म भोक लागेको छु,Nepali
मम क्षुधा वर्तते,Sanskrit
हवामान खूप छान आहे,Marathi
कति बजेको छ?,Nepali
हवामान खूप छान आहे,Marathi
एषः सुंदरः दिवसः अस्ति अहं विद्यालयं गच्छामि,Sanskrit
मी मराठी शिकत आहे तू कसा आहेस?,Marathi
मुझे भूख लगी है,Hindi
मौसम धेरै राम्रो छ,Nepali
म नेपाली सिक्दैछु,Nepali
म बजार जाँदैछु,Nepali
मैं बाजार जा रहा हूँ,Hindi
वातावरणं रमणीयं अस्ति कृपया साहाय्यं कुरुत,Sanskrit
यो पुस्तक धेरै रोचक छ म भोक लागेको छु,Nepali
भारत एक महान देश है यह पुस्तक बहुत रोचक है,Hindi
ही पुस्तक खूप रंजक आहे,Marathi
यो एक सुन्दर दिन हो म बजार जाँदैछु,Nepali
एषा पुस्तिका रोचकं अस्ति त्वं कथं असि?,Sanskrit
मैं हिंदी सीख रहा हूँ,Hindi
अहं विद्यालयं गच्छामि कियद्वेला जाता?,Sanskrit
तिमीलाई कस्तो छ? म बजार जाँदैछु,Nepali
भारत एक महान देश हो तिमीलाई कस्तो छ?,Nepali
मम क्षुधा वर्तते,Sanskrit
कति बजेको छ?,Nepali
एषः सुंदरः दिवसः अस्ति,Sanskrit
मम क्षुधा वर्तते,Sanskrit
म बजार जाँदैछु,Nepali
कृपया माझी मदत करा,Marathi
भारत एक महान देश हो,Nepali
एषः सुंदरः दिवसः अस्ति कियद्वेला जाता?,Sanskrit
तिमीलाई कस्तो छ?,Nepali
एषा पुस्तिका रोचकं अस्ति,Sanskrit
त्वं कथं असि?,Sanskrit
यो पुस्तक धेरै रोचक छ,Nepali
हवामान खूप छान आहे,Marathi
हा एक सुंदर दिवस आहे,Marathi
तुम कैसे हो?,Hindi
म भोक लागेको छु कति बजेको छ?,Nepali
तुम कैसे हो?,Hindi
भारतः महान् देशः अस्ति वातावरणं रमणीयं अस्ति,Sanskrit
हवामान खूप छान आहे,Marathi
कृपया माझी मदत करा कृपया माझी मदत करा,Marathi
मला भूक लागली आहे,Marathi
यो एक सुन्दर दिन हो तिमीलाई कस्तो छ?,Nepali
मी मराठी शिकत आहे,Marathi
तुम कैसे हो?,Hindi
भारत एक महान देश आहे भारत एक महान देश आहे,Marathi
मैं हिंदी सीख रहा हूँ यह एक सुंदर दिन है,Hindi
म नेपाली सिक्दैछु यो पुस्तक धेरै रोचक छ,Nepali
मुझे भूख लगी है,Hindi
मौसम बहुत अच्छा है,Hindi
भारत एक महान देश आहे,Marathi
यो पुस्तक धेरै रोचक छ म भोक लागेको छु,Nepali
हवामान खूप छान आहे,Marathi
यह एक सुंदर दिन है,Hindi
ही पुस्तक खूप रंजक आहे,Marathi
भारत एक महान देश आहे,Marathi
भारत एक महान देश आहे,Marathi
वेळ किती वाजली आहे? ही पुस्तक खूप रंजक आहे,Marathi
मुझे भूख लगी है,Hindi
वेळ किती वाजली आहे? वेळ किती वाजली आहे?,Marathi
मौसम बहुत अच्छा है कृपया मेरी मदद करें,Hindi
मौसम बहुत अच्छा है,Hindi
एषा पुस्तिका रोचकं अस्ति,Sanskrit
मम क्षुधा वर्तते त्वं कथं असि?,Sanskrit
मला भूक लागली आहे,Marathi
भारत एक महान देश हो,Nepali
यह एक सुंदर दिन है,Hindi
क्या समय हुआ है?,Hindi
वेळ किती वाजली आहे?,Marathi
भारत एक महान देश है,Hindi
मैं हिंदी सीख रहा हूँ,Hindi
म नेपाली सिक्दैछु,Nepali
त्वं कथं असि?,Sanskrit
म नेपाली सिक्दैछु,Nepali
कृपया माझी मदत करा भारत एक महान देश आहे,Marathi
ही पुस्तक खूप रंजक आहे,Marathi
म भोक लागेको छु,Nepali
मुझे भूख लगी है,Hindi
हवामान खूप छान आहे,Marathi
मी बाजारात जात आहे,Marathi
मैं बाजार जा रहा हूँ,Hindi
कृपया साहाय्यं कुरुत,Sanskrit
तुम कैसे हो?,Hindi
हवामान खूप छान आहे मी मराठी शिकत आहे,Marathi
मला भूक लागली आहे,Marathi
मौसम बहुत अच्छा है यह एक सुंदर दिन है,Hindi
अहं संस्कृतं पठामि,Sanskrit
हा एक सुंदर दिवस आहे वेळ किती वाजली आहे?,Marathi
वेळ किती वाजली आहे? मी बाजारात जात आहे,Marathi
मौसम धेरै राम्रो छ म भोक लागेको छु,Nepali
भारतः महान् देशः अस्ति,Sanskrit
भारतः महान् देशः अस्ति अहं विद्यालयं गच्छामि,Sanskrit
मुझे भूख लगी है,Hindi
कृपया मेरी मदद करें,Hindi
हा एक सुंदर दिवस आहे,Marathi
कति बजेको छ?,Nepali
अहं संस्कृतं पठामि,Sanskrit
भारत एक महान देश है,Hindi
वातावरणं रमणीयं अस्ति,Sanskrit
ही पुस्तक खूप रंजक आहे,Marathi
म बजार जाँदैछु,Nepali
मुझे भूख लगी है तुम कैसे हो?,Hindi
कृपया माझी मदत करा मला भूक लागली आहे,Marathi
कति बजेको छ?,Nepali
वातावरणं रमणीयं अस्ति,Sanskrit
मुझे भूख लगी है,Hindi
मौसम बहुत अच्छा है,Hindi
मैं हिंदी सीख रहा हूँ,Hindi
मुझे भूख लगी है,Hindi
म भोक लागेको छु,Nepali
क्या समय हुआ है? भारत एक महान देश है,Hindi
मला भूक लागली आहे,Marathi
मी बाजारात जात आहे,Marathi
त्वं कथं असि?,Sanskrit
भारतः महान् देशः अस्ति,Sanskrit
कृपया मेरी मदद करें क्या समय हुआ है?,Hindi
मी मराठी शिकत आहे,Marathi
अहं संस्कृतं पठामि,Sanskrit
कियद्वेला जाता? कियद्वेला जाता?,Sanskrit
म बजार जाँदैछु,Nepali
मम क्षुधा वर्तते कियद्वेला जाता?,Sanskrit
कियद्वेला जाता?,Sanskrit
तुम कैसे हो?,Hindi
हवामान खूप छान आहे,Marathi
वातावरणं रमणीयं अस्ति,Sanskrit
म बजार जाँदैछु,Nepali
म भोक लागेको छु,Nepali
वेळ किती वाजली आहे?,Marathi
मी मराठी शिकत आहे,Marathi
यह एक सुंदर दिन है,Hindi
वेळ किती वाजली आहे?,Marathi
यह एक सुंदर दिन है कृपया मेरी मदद करें,Hindi
म भोक लागेको छु,Nepali
कति बजेको छ?,Nepali
तुम कैसे हो?,Hindi
कृपया मलाई मद्दत गर,Nepali
भारत एक महान देश हो तिमीलाई कस्तो छ?,Nepali
हा एक सुंदर दिवस आहे,Marathi
यो एक सुन्दर दिन हो,Nepali
तुम कैसे हो?,Hindi
यो पुस्तक धेरै रोचक छ,Nepali
एषा पुस्तिका रोचकं अस्ति,Sanskrit
मम क्षुधा वर्तते,Sanskrit
हा एक सुंदर दिवस आहे,Marathi
कृपया मेरी मदद करें,Hindi
मी बाजारात जात आहे,Marathi
भारतः महान् देशः अस्ति,Sanskrit
क्या समय हुआ है?,Hindi
तू कसा आहेस?,Marathi
अहं विद्यालयं गच्छामि,Sanskrit
भारत एक महान देश है मौसम बहुत अच्छा है,Hindi
म नेपाली सिक्दैछु म नेपाली सिक्दैछु,Nepali
एषा पुस्तिका रोचकं अस्ति,Sanskrit
मौसम बहुत अच्छा है,Hindi
कृपया मलाई मद्दत गर,Nepali
भारत एक महान देश है,Hindi
मी बाजारात जात आहे वेळ किती वाजली आहे?,Marathi
वेळ किती वाजली आहे?,Marathi
भारतः महान् देशः अस्ति कियद्वेला जाता?,Sanskrit
भारत एक महान देश आहे,Marathi
क्या समय हुआ है? क्या समय हुआ है?,Hindi
मी बाजारात जात आहे,Marathi
एषः सुंदरः दिवसः अस्ति,Sanskrit
म बजार जाँदैछु,Nepali
मी मराठी शिकत आहे,Marathi
त्वं कथं असि? त्वं कथं असि?,Sanskrit
हवामान खूप छान आहे,Marathi
भारतः महान् देशः अस्ति,Sanskrit
एषा पुस्तिका रोचकं अस्ति,Sanskrit
यह पुस्तक बहुत रोचक है,Hindi
हवामान खूप छान आहे,Marathi
हा एक सुंदर दिवस आहे,Marathi
तुम कैसे हो?,Hindi
भारतः महान् देशः अस्ति,Sanskrit
तिमीलाई कस्तो छ?,Nepali
भारत एक महान देश है,Hindi
यो पुस्तक धेरै रोचक छ,Nepali
भारत एक महान देश हो,Nepali
तुम कैसे हो? मुझे भूख लगी है,Hindi
मी बाजारात जात आहे,Marathi
एषः सुंदरः दिवसः अस्ति एषा पुस्तिका रोचकं अस्ति,Sanskrit
क्या समय हुआ है?,Hindi
मुझे भूख लगी है क्या समय हुआ है?,Hindi
मुझे भूख लगी है,Hindi
त्वं कथं असि? अहं संस्कृतं पठामि,Sanskrit
हा एक सुंदर दिवस आहे भारत एक महान देश आहे,Marathi
कियद्वेला जाता?,Sanskrit
मैं हिंदी सीख रहा हूँ,Hindi
म बजार जाँदैछु,Nepali
म नेपाली सिक्दैछु,Nepali
यो पुस्तक धेरै रोचक छ,Nepali
म नेपाली सिक्दैछु,Nepali
यो पुस्तक धेरै रोचक छ,Nepali
म नेपाली सिक्दैछु,Nepali
हवामान खूप छान आहे कृपया माझी मदत करा,Marathi
अहं विद्यालयं गच्छामि अहं विद्यालयं गच्छामि,Sanskrit
भारत एक महान देश आहे,Marathi
वेळ किती वाजली आहे?,Marathi
हवामान खूप छान आहे,Marathi
कृपया माझी मदत करा,Marathi
यह एक सुंदर दिन है,Hindi
एषः सुंदरः दिवसः अस्ति वातावरणं रमणीयं अस्ति,Sanskrit
भारत एक महान देश हो,Nepali
म नेपाली सिक्दैछु,Nepali
कृपया माझी मदत करा,Marathi
अहं विद्यालयं गच्छामि एषः सुंदरः दिवसः अस्ति,Sanskrit
हवामान खूप छान आहे,Marathi
मला भूक लागली आहे वेळ किती वाजली आहे?,Marathi
अहं संस्कृतं पठामि,Sanskrit
म नेपाली सिक्दैछु,Nepali
मौसम बहुत अच्छा है,Hindi
त्वं कथं असि?,Sanskrit
मैं हिंदी सीख रहा हूँ,Hindi
म बजार जाँदैछु,Nepali
मौसम धेरै राम्रो छ,Nepali
तुम कैसे हो?,Hindi
मला भूक लागली आहे,Marathi
हा एक सुंदर दिवस आहे,Marathi
अहं संस्कृतं पठामि,Sanskrit
कृपया साहाय्यं कुरुत,Sanskrit
मौसम बहुत अच्छा है मैं बाजार जा रहा हूँ,Hindi
यह पुस्तक बहुत रोचक है,Hindi
वातावरणं रमणीयं अस्ति,Sanskrit
भारत एक महान देश हो भारत एक महान देश हो,Nepali
अहं संस्कृतं पठामि,Sanskrit
वेळ किती वाजली आहे?,Marathi
मी मराठी शिकत आहे,Marathi
मौसम धेरै राम्रो छ यो एक सुन्दर दिन हो,Nepali
वातावरणं रमणीयं अस्ति,Sanskrit
यह एक सुंदर दिन है,Hindi
क्या समय हुआ है?,Hindi
ही पुस्तक खूप रंजक आहे मी मराठी शिकत आहे,Marathi
तिमीलाई कस्तो छ?,Nepali
अहं संस्कृतं पठामि,Sanskrit
यो पुस्तक धेरै रोचक छ,Nepali
भारत एक महान देश हो कति बजेको छ?,Nepali
मौसम बहुत अच्छा है,Hindi
मौसम धेरै राम्रो छ कति बजेको छ?,Nepali
एषा पुस्तिका रोचकं अस्ति,Sanskrit
अहं विद्यालयं गच्छामि,Sanskrit
यो पुस्तक धेरै रोचक छ,Nepali
एषः सुंदरः दिवसः अस्ति,Sanskrit
भारत एक महान देश हो कृपया मलाई मद्दत गर,Nepali
कति बजेको छ? मौसम धेरै राम्रो छ,Nepali
त्वं कथं असि?,Sanskrit
त्वं कथं असि?,Sanskrit
हवामान खूप छान आहे,Marathi
हा एक सुंदर दिवस आहे,Marathi
म भोक लागेको छु तिमीलाई कस्तो छ?,Nepali
एषा पुस्तिका रोचकं अस्ति,Sanskrit
वातावरणं रमणीयं अस्ति भारतः महान् देशः अस्ति,Sanskrit
कति बजेको छ? म भोक लागेको छु,Nepali
हवामान खूप छान आहे तू कसा आहेस?,Marathi
हा एक सुंदर दिवस आहे,Marathi
भारतः महान् देशः अस्ति,Sanskrit
कति बजेको छ?,Nepali
मी बाजारात जात आहे,Marathi
मम क्षुधा वर्तते,Sanskrit
मौसम बहुत अच्छा है,Hindi
म बजार जाँदैछु,Nepali
म बजार जाँदैछु म बजार जाँदैछु,Nepali
ही पुस्तक खूप रंजक आहे,Marathi
कृपया मलाई मद्दत गर,Nepali
भारतः महान् देशः अस्ति कृपया साहाय्यं कुरुत,Sanskrit
यह पुस्तक बहुत रोचक है,Hindi
कृपया मलाई मद्दत गर,Nepali
एषः सुंदरः दिवसः अस्ति,Sanskrit
मी बाजारात जात आहे ही पुस्तक खूप रंजक आहे,Marathi
मी मराठी शिकत आहे,Marathi
कति बजेको छ?,Nepali
यो एक सुन्दर दिन हो,Nepali
यह पुस्तक बहुत रोचक है,Hindi
कति बजेको छ?,Nepali
तू कसा आहेस?,Marathi
हवामान खूप छान आहे तू कसा आहेस?,Marathi
कृपया मलाई मद्दत गर,Nepali
मुझे भूख लगी है,Hindi
कियद्वेला जाता?,Sanskrit
कति बजेको छ?,Nepali
मौसम बहुत अच्छा है,Hindi
अहं संस्कृतं पठामि,Sanskrit
मैं बाजार जा रहा हूँ,Hindi
यह पुस्तक बहुत रोचक है,Hindi
कृपया मलाई मद्दत गर,Nepali
मी मराठी शिकत आहे,Marathi
मैं हिंदी सीख रहा हूँ मौसम बहुत अच्छा है,Hindi
भारत एक महान देश आहे,Marathi
एषा पुस्तिका रोचकं अस्ति भारतः महान् देशः अस्ति,Sanskrit
तिमीलाई कस्तो छ?,Nepali
कियद्वेला जाता? भारतः महान् देशः अस्ति,Sanskrit
क्या समय हुआ है? मैं हिंदी सीख रहा हूँ,Hindi
मी मराठी शिकत आहे,Marathi
मी मराठी शिकत आहे,Marathi
कृपया माझी मदत करा,Marathi
यह पुस्तक बहुत रोचक है,Hindi
वेळ किती वाजली आहे?,Marathi
यो पुस्तक धेरै रोचक छ यो पुस्तक धेरै रोचक छ,Nepali
कृपया मलाई मद्दत गर मौसम धेरै राम्रो छ,Nepali
अहं विद्यालयं गच्छामि कृपया साहाय्यं कुरुत,Sanskrit
क्या समय हुआ है?,Hindi
वेळ किती वाजली आहे?,Marathi
मौसम बहुत अच्छा है यह पुस्तक बहुत रोचक है,Hindi
मी मराठी शिकत आहे,Marathi
हवामान खूप छान आहे,Marathi
यह एक सुंदर दिन है,Hindi
तुम कैसे हो? यह एक सुंदर दिन है,Hindi
भारत एक महान देश हो,Nepali
कृपया मेरी मदद करें मुझे भूख लगी है,Hindi
भारतः महान् देशः अस्ति कृपया साहाय्यं कुरुत,Sanskrit
म बजार जाँदैछु,Nepali
यो पुस्तक धेरै रोचक छ,Nepali
यो पुस्तक धेरै रोचक छ,Nepali
म भोक लागेको छु यो एक सुन्दर दिन हो,Nepali
मैं बाजार जा रहा हूँ कृपया मेरी मदद करें,Hindi
अहं संस्कृतं पठामि,Sanskrit
मौसम धेरै राम्रो छ यो एक सुन्दर दिन हो,Nepali
मम क्षुधा वर्तते एषः सुंदरः दिवसः अस्ति,Sanskrit
मौसम धेरै राम्रो छ कति बजेको छ?,Nepali
मी मराठी शिकत आहे,Marathi
मम क्षुधा वर्तते मम क्षुधा वर्तते,Sanskrit
ही पुस्तक खूप रंजक आहे,Marathi
मुझे भूख लगी है,Hindi
कृपया साहाय्यं कुरुत वातावरणं रमणीयं अस्ति,Sanskrit
कृपया मेरी मदद करें भारत एक महान देश है,Hindi
मी मराठी शिकत आहे,Marathi
वातावरणं रमणीयं अस्ति,Sanskrit
क्या समय हुआ है?,Hindi
मौसम बहुत अच्छा है,Hindi
तुम कैसे हो?,Hindi
म भोक लागेको छु म नेपाली सिक्दैछु,Nepali
त्वं कथं असि?,Sanskrit
अहं विद्यालयं गच्छामि भारतः महान् देशः अस्ति,Sanskrit
यो एक सुन्दर दिन हो म भोक लागेको छु,Nepali
मैं बाजार जा रहा हूँ मैं हिंदी सीख रहा हूँ,Hindi
त्वं कथं असि?,Sanskrit
म भोक लागेको छु,Nepali
मम क्षुधा वर्तते एषा पुस्तिका रोचकं अस्ति,Sanskrit
भारतः महान् देशः अस्ति अहं विद्यालयं गच्छामि,Sanskrit
कृपया मलाई मद्दत गर भारत एक महान देश हो,Nepali
भारत एक महान देश है तुम कैसे हो?,Hindi
भारत एक महान देश हो,Nepali
कृपया मलाई मद्दत गर,Nepali
मुझे भूख लगी है यह एक सुंदर दिन है,Hindi
यह पुस्तक बहुत रोचक है मैं हिंदी सीख रहा हूँ,Hindi
एषः सुंदरः दिवसः अस्ति वातावरणं रमणीयं अस्ति,Sanskrit
यह एक सुंदर दिन है यह एक सुंदर दिन है,Hindi
मी बाजारात जात आहे,Marathi
कति बजेको छ?,Nepali
भारत एक महान देश है कृपया मेरी मदद करें,Hindi
कृपया माझी मदत करा कृपया माझी मदत करा,Marathi
क्या समय हुआ है?,Hindi
भारत एक महान देश है तुम कैसे हो?,Hindi
मी बाजारात जात आहे,Marathi
मुझे भूख लगी है,Hindi
हवामान खूप छान आहे मला भूक लागली आहे,Marathi
वातावरणं रमणीयं अस्ति,Sanskrit
त्वं कथं असि? मम क्षुधा वर्तते,Sanskrit
वेळ किती वाजली आहे? हवामान खूप छान आहे,Marathi
तू कसा आहेस? तू कसा आहेस?,Marathi
मुझे भूख लगी है,Hindi
म नेपाली सिक्दैछु,Nepali
मम क्षुधा वर्तते,Sanskrit
मैं बाजार जा रहा हूँ,Hindi
भारतः महान् देशः अस्ति,Sanskrit
क्या समय हुआ है? कृपया मेरी मदद करें,Hindi
मौसम बहुत अच्छा है,Hindi
